id;transcription;collection;period;publication_type;publication_year;publication_month;publication_day;publication_name;publication_country;publication_volume;publication_number;publication_pages;publication_reviewer;archive_name;archive_url;accessed;transcribed;annotated;comments
1;"There is a glut of description and epithet in Mr. Oscar Wilde's book of fairy tales which leaves the reader with a strong sense of having fed on lucent syrup tinct with cinnamon, and baring bad too much of it. No language can compare with it except Ouida's when she is giving an inventory of the properties environing one of her heroines. Few basal ideas in fairy stories can bear this treatment; certainly not Mr. Wilde's. To make matters worse, ho has chosen to relate them in 4 style paraphrasing Scripture, which gives to the whole the air of complexity aping simplicity without success. The weird decorations sown with studied carelessness among the margins heighten this effect, as do also the medieval illustrations and the Grosvenor-Gallery covers Mr. Wilde seems, on the whole, to have taken bis stories something over-solemnly. In a less ostentatious se ting [sic], certain really poetic ideas found floating about in the volume would have gone further towards redeeming the inconsequent and spasmodic construction. The descriptions, in the opening story, of the weaving of the King's robe 'on the loom of Sorrow and by the white hands of Pain', 'the blood in the heart of the Raby, and Death in the heart of be Pearl', have shuddering force, and are among the few things in the book that leave an afterglow in the mind.";A House of Pomegranates;1;Original contemporary review;1892;6;16;The Nation;United States of America;54;1407;451–452;;Google Books;https://editions.covecollective.org/edition/lord-arthur-savile’s-crime-and-other-stories/appendix-b-contemporary-reviews;2020-02-02;2020-02-02;;File missing
7;We do not like the outside of the cover of Mr Oscar Wilde's *House of Pomegranates* (Osgood) [sic]. The Indian club with a house-painter's brush on the top which passes muster for a peacock, and the chimney-pot  hat with a sponge in it, which is meant to represent a basket containing a pomegranate, or a fountain, or something of that kind, are grotesque, but not ideally so. The inside of the cover, however, with its olive sheaves of corn falling apart, its fluttering quails, and crawling snails, delights the eye. So do the pictures and the type and the paper. Mr Ricketts has learned the art of drawing dreams and visions, and Mr Shannon can make decorative designs full of charming detail. We can well believe that the book is as delightful as it looks.;A House of Pomegranates;1;Original contemporary review;1891;11;28;The Speaker: A Review of Politics, Letters, Science and the Arts;United Kingdom;;;;;Holland and Hart-Davis (2000);https://books.google.es/books?id=CIlNAAAAYAAJ&pg=PA26&dq=A+House+of+Pomegranates&hl=en&sa=X&ved=2ahUKEwjt9s3O0eH1AhWt4YUKHS5tBY8Q6AF6BAgJEAI#v=onepage&q=A%20House%20of%20Pomegranates&f=false;2021-04-07;2021-04-07;2025-01-17;
11;"An author's opinion on his own work should claim a peculiar respect. Like a fond mother's, his appreciation may incline towards excess; but he, like the mother, sat up with the child. Even if the book send us to sleep, it has probably kept him awake, and that, after all, is the more favourable condition for knowledge. Recognising this, we were not annoyed---as certain critics have been annoyed---to discover, on opening this volume, that Mr. Wilde himself considers the four tales contained in it to be beautiful. We allowed at once that he was possibly, even probably, right; and any small regret at finding our judgment anticipated and our labour curtailed was obliterated in the happy reflection that Mr. Wilde had by this precaution saved himself at least three letters to the newspapers. It is unfortunate that Messrs. Ricketts and Shannon, the illustrators, were not also given a upon which to express their satisfaction with their handiwork. For lack of this, a critic in THE SPEAKER, left to judge without guidance, asserted that the gilt peacock on the cover resembled a bulging umbrella. He has since been corrected and superseded; but it cost Mr. Wilde a postage stamp. The present critic is ready to admit that for decorative ends, in certain places, a peacock which resembles a bulging umbrella may be preferable to the peacock of our gardens: and he follows up this admission with another---that, for decorative ends, the prose of Mr. Oscar Wilde is superior to the prose of other men. You may like decorative prove, or you may not. If you do not, there is no more to be said than that the book is not for your enjoyment. If you do, then the author is right in calling it a book of 'beautiful tales'. From cover to cover, in binding, paper, illustrations and letterpress, the scheme 'of the volume is a scheme of decoration. The title itself is purely decorative. '*A House of Pomegranates*, by Oscar Wilde', reads beautifully, though there be no house and the pomegranates are all contributed by Messrs. Ricketts and Shannon. And the dedications are decorative; so are the margins; and so, above all, is the prose. Here is a passage selected at random---

>…

Now whether we like this kind of thing or not, it is impossible to deny its extreme beauty in its kind. And it is just as impossible to name any other writer who could elaborate his sensuous impressions with such assiduities, minutely careful down to the two sandals on the priest's feet. Among bright colours, sweet sounds, pleasant tastes, Mr. Wilde is like his own Dorian Gray, plunging his hand in gems and letting them rain through his fingers. His pages may be cold reading; but their glitter is amazing, and the fineness of their workmanship, Nor is i¢ merely the sensuous imagery that is decorative. The structure of Mr. Wilde's prose is decorative, too. Take, for example, his description of a mermaid in the third tale :---'Her hair was as a wet fleece of gold, and each separate hair as a thread of fine gold in a cup of glass. Her body was as white ivory, and her tail was of silver and pearl. Silver and pearl was her tail, and the green weeds of the sea coiled round it; and like sea-shells were her ears, and her lips were like seacoral. The cold waves dashed over her cold breasts, and the salt glistened upon her eyelids'. Here is a deliberate and successful adaptation of the old Hebrew trick of repeating a phrase to give balance and rhythm to a sentence, or possibly for the mere pleasure of looking « second time on a cluster of beautiful words. Our poets have made splendid use of this device now and again, and perhaps it has been unduly neglected by our prosewriters. At any rate its decorative value is obvious enough here, as in the Song of Solomon, And having pointed out what we conceive to be Mr. Wilde's purpose, and added our belief that he has attained his purpose with extraordinary skill, we may simply leave readers to decide whether or not their tastes incline towards that which is 'precious' in literature. If they do, they will hardly find two better tales than 'The Young King' and 'The Fisherman and His Soul'. If they do not, the morals of these stories (which, by the way, are not merely irreproachable but beneficent) will be seen sicklied over with detail and cloying to the taste. They will desire a little more of idiom and humanity in the writing, a little less of cadence and artifice. But, after all, they will only be in the position of the critic who objected to a decorative peacock---because it differed from the peacock of his experience.
";A House of Pomegranates;1;Original contemporary review;1892;1;2;The Speaker: A Review of Politics, Letters, Science and the Arts;United Kingdom;5;;26–27;;Google Books;;2022-02-02;2022-02-02;2025-01-17;Digitised by British Library via Interlibrary Loan request. Lead found in Mason (1914) and Mikhail (1978)
13;*A House of Pomegranates* is just the sort of title one might expect from Oscar Wilde, and as a matter of course no other firm save that of Jas. R. Osgood, M'Ilvaine [sic] and Co., could fittingly publish for this author. The picture designs and decorations are by C. Ricketts and Ch, [sic] Shannon, an it must be admitted that a more charmingly got-up volume could scarcely be produced. The style is severely antique, and the colours of the kind which aestheticism dictates. So far as a special set of illustrations are concerned the non-initiated will best understand their character by saying that they resemble (while of course far surpassing) what boys call 'transfers' before these are transferred. The paper is of the choicest quality, and it would be difficult to imagine a more elegant gift. Nor is this by any means all that can be said for the volume. Mr. Wilde is always clever and abundant in allusions betraying taste and erudition. But here we have nothing savouring of his customary cynicism. On the title page it is modestly asserted that the contents are 'beautiful tales', and the promise is realised. There are four tales, or rather allegories, and as many dedications, with one extra for the book as a whole, which is to 'Constance Mary Wilde', and a perusal of one or all of 'The Young King', 'The Birthday of the Infanta', 'The Fisherman and his Soul', and 'The Star Child', will be found thoroughly seasonable and wholesome reading. Necessarily the supernatural obtrudes itself, and many situations strange and weird are encountered.;A House of Pomegranates;1;Original contemporary review;1891;12;;The Liverpool Daily Courier;United Kingdom;;;6;;Internet Archive;https://archive.org/details/sim_universal-review_may-august-1888_1/page/304;2022-04-11;2022-04-11;2025-01-17;
21;;A House of Pomegranates;1;Original contemporary review;1891;12;26;Liverpool Daily Post;United Kingdom;;11391;7;;Newspapers by Ancestry;https://www.https://www.newspapers.com /image/800122059/;2025-03-18;;2025-03-18;
28;"*A House of Pomegranates*, by Oscar Wilde, Illustrated. (London; James R. Osgood and Co.).---Four tales in antique and with curious embellishments. Indeed, everything is pleasing about the volume except the plates, which are dim and unfinished-looking.";A House of Pomegranates;1;Original contemporary review;1891;12;23;The Liverpool Mercury;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2019-10-19;2019-10-19;;
43;Mr. Shannon and Mr. Ricketts have sprinkled the pages with devices rare and strange in the latest and straitest school of Neo-pre-Raphaelitism, and the chief illustrations in the book are of a most absolute fancy. Nevertheless, we rather like them, for they are by no means uncomely, and they suit their text---a compliment which we are frequently unable to pay to much more commonplace in- stances of the art of book illustration. In the case of the text, also, hasty judgment is likely to be unduly harsh judgment. The pomegranates that compose the house---the grains that make up the pomegranate would have been a better metaphor---are four in number, and are all tales of the Märchen order, though one is something even more of a fabliau than of a Märchen. This is called 'The Birthday of the Infanta', and tells, to put it very shortly, how a certain little Spanish princess had an ugly dwarf who loved her, and died of a broken heart when he found out, not only how ugly he himself was, but how his beloved mistress thought of him as nothing but a fantastic toy. 'Tis an ower true tale. But we are not sure that Mr. Wilde's manner of telling it is quite the right one. The first and the last of the four, ' The Young King', and ' The Star Child', are pretty enough moralities. The third piece, 'The Fisherman and his Soul', is much longer, as long, indeed, as any two of them, and to our fancy a good deal better. It tells how a fisherman fell in love with a mermaid, and, to gain her, consented to part with his soul. *Spectator*.;A House of Pomegranates;1;Reprinted contemporary review;1892;6;;Book News: An Illustrated Magazine of Literature;United Kingdom;10;118;454;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=chi.12149989&seq=482;2021-06-30;2021-06-30;2025-01-17;
70;"Mr. Oscar Wilde and his coadjutors, Messrs. Ricketts and Shannon, have exhausted the resources of bizarre decoration in '*A House of Pomegranates*', which being interpreted means a quartet of märchen. The book, clad in white linen, with peacocks and arabesques and all sorts of things, is printed on plate paper. Its four, principal illustrations, one for each tale, are executed in such very faint grisaille that even in strong daylight they are not easily decipherable, while artificial illumination makes the page look a blank. There is a profusion of head and tail pieces, often very pretty, not to mention occasional devices scattered over the, angles of the page and everywhere, The inevitable drawback of this sort of thing is that after it one comes to talk and think of the text as 'letterpress'. It says something for Mr. Wilde that his text is nearly if not quite good; enough to banish this injurious appellation from the reader's mind. The tales, dedicated collectively to the author's wife and individually to four other ladies---Lady Brooke, Mrs, Grenfell, the Princess of Monaco, and Miss Margot Lennant,---are, as we have said, märchen, stories of the kind which the Germans invented or resuscitated from its grave in medieval legends, stories with a dash of the supernatural, a strain of pathos, and a suspicion here and---there of persiflage. They are really good of their kind. The best is, we think, 'The Fisherman and his Soul', which is also the most elaborate. The fisherman parts with his soul (though not in the ordinary way) to gain a soulless mermaid, and joins it again only to find---that the mermaid keeps his heart. This is also the most original. 'The Infant's [sic] Birthday', in which a hideous little dwarf dies when he becomes conscious of his ugliness, is very [?]. 'The two others, 'The Young King' and 'The Star Child', are nearer the common or Hans Andersen variety.";A House of Pomegranates;1;Original contemporary review;1891;12;22;The Manchester Guardian;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
71;Mr. Oscar Wilde has a vocation. A more charming set of fairy stories will not easily be found than his four stories called *A House of Pomegranates*. It is full of Mr. Oscar Wilde's most happy imagery, and over all is cast the pathos and real kindliness which can be traced even in some books of Mr. Oscar Wilde which are less to our taste. Nothing can be prettier or more pathetic than tho first story of the set, 'The Young King', or more quaintly original than 'The Fisherman and his Soul', which, by the way, raises a scientific question as to whether a shadow can throw a shadow. If we wanted to pick holes, which is the last thing we desire, we should say the stories were almost too ethical. It is as if Mr. Oscar Wilde wished to teach us many things---notably the law of kindness and self-denial, and to enforce the lesson that to do wrong never produces either beauty or happiness. We hasten, however, to state that Mr. Oscar Wilde does not divorce beauty and goodness: If you are good you are beautiful, or, if he will not quite go that length, he insists on the reverse---that if you are bad you are ugly. In future it will be fair to try and read into the other works of Mr. Oscar Wilde the same teaching that is so impressed upon us in this most attractive set of stories. One word must be given to the adornment of the tales. The numerous woodcuts, rather of the style of Mr. Burne Jones, are always clever and sometimes graceful. As to the four photographs, if the fact that it requires not only a very clever person to understand them, but that this person must possess eyes of no common order to make them out, prove that the work is clever, let us at once accord that praise to them. The cover, inside and out, the print, and the margins leave nothing to be desired.;A House of Pomegranates;1;Original contemporary review;1891;12;9;The Manchester Guardian;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
72;Oscar Wilde's '*A House of Pomegranates*' is a queer production, queerly illustrated with very dim and indistinct cartoons of an aggravating unintelligibility. It is a collection of apologues, or fairy tales, or what you will. It is written in a kind of imitation of Biblical style, and it does not suggest or amount to much, however regarded.;A House of Pomegranates;1;Original contemporary review;1892;7;17;The New York Tribune;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
