id;transcription;collection;period;publication_type;publication_year;publication_month;publication_day;publication_name;publication_country;publication_region;publication_place;publication_volume;publication_number;publication_pages;publication_reviewer;archive_name;archive_url;accessed;transcribed;comments
3;THIS little collection of stories for children (hardly longer than a review article shows Mr. Oscar Wilde's genius at its best. The five tales have each a point, are admirably expressed, and show a genuine poetic feeling. What, for instance, could in its slight way be more neatly told than the story which gives the name to the book? The ' Happy Prince' is a great gold statue in the market-place of the town where he once lived and ruled, and since he has been set up on his pedestal he has seen all the woe and want of his city---for the first time. So one by one he parts with his sword-hilt jewels and his sapphire eyes to relieve his people, making a swallow his messenger, and then---but that should be left to the author.;The Happy Prince and Other Tales;1;Contemporary review (original);1888;6;;The Universal Review;United Kingdom;England;;1;;305;;Internet Archive;https://archive.org/details/sim_universal-review_may-august-1888_1/page/304;2021-03-05;2025-01-17;
11;"An author's opinion on his own work should claim a peculiar respect. Like a fond mother's, his appreciation may incline towards excess; but he, like the mother, sat up with the child. Even if the book send us to sleep, it has probably kept him awake, and that, after all, is the more favourable condition for knowledge. Recognising this, we were not annoyed---as certain critics have been annoyed---to discover, on opening this volume, that Mr. Wilde himself considers the four tales contained in it to be beautiful. We allowed at once that he was possibly, even probably, right; and any small regret at finding our judgment anticipated and our labour curtailed was obliterated in the happy reflection that Mr. Wilde had by this precaution saved himself at least three letters to the newspapers. It is unfortunate that Messrs. Ricketts and Shannon, the illustrators, were not also given a upon which to express their satisfaction with their handiwork. For lack of this, a critic in THE SPEAKER, left to judge without guidance, asserted that the gilt peacock on the cover resembled a bulging umbrella. He has since been corrected and superseded; but it cost Mr. Wilde a postage stamp. The present critic is ready to admit that for decorative ends, in certain places, a peacock which resembles a bulging umbrella may be preferable to the peacock of our gardens: and he follows up this admission with another---that, for decorative ends, the prose of Mr. Oscar Wilde is superior to the prose of other men. You may like decorative prove, or you may not. If you do not, there is no more to be said than that the book is not for your enjoyment. If you do, then the author is right in calling it a book of 'beautiful tales'. From cover to cover, in binding, paper, illustrations and letterpress, the scheme 'of the volume is a scheme of decoration. The title itself is purely decorative. '*A House of Pomegranates*, by Oscar Wilde', reads beautifully, though there be no house and the pomegranates are all contributed by Messrs. Ricketts and Shannon. And the dedications are decorative; so are the margins; and so, above all, is the prose. Here is a passage selected at random---
 
 >…
 
 Now whether we like this kind of thing or not, it is impossible to deny its extreme beauty in its kind. And it is just as impossible to name any other writer who could elaborate his sensuous impressions with such assiduities, minutely careful down to the two sandals on the priest's feet. Among bright colours, sweet sounds, pleasant tastes, Mr. Wilde is like his own Dorian Gray, plunging his hand in gems and letting them rain through his fingers. His pages may be cold reading; but their glitter is amazing, and the fineness of their workmanship, Nor is i¢ merely the sensuous imagery that is decorative. The structure of Mr. Wilde's prose is decorative, too. Take, for example, his description of a mermaid in the third tale :---'Her hair was as a wet fleece of gold, and each separate hair as a thread of fine gold in a cup of glass. Her body was as white ivory, and her tail was of silver and pearl. Silver and pearl was her tail, and the green weeds of the sea coiled round it; and like sea-shells were her ears, and her lips were like seacoral. The cold waves dashed over her cold breasts, and the salt glistened upon her eyelids'. Here is a deliberate and successful adaptation of the old Hebrew trick of repeating a phrase to give balance and rhythm to a sentence, or possibly for the mere pleasure of looking « second time on a cluster of beautiful words. Our poets have made splendid use of this device now and again, and perhaps it has been unduly neglected by our prosewriters. At any rate its decorative value is obvious enough here, as in the Song of Solomon, And having pointed out what we conceive to be Mr. Wilde's purpose, and added our belief that he has attained his purpose with extraordinary skill, we may simply leave readers to decide whether or not their tastes incline towards that which is 'precious' in literature. If they do, they will hardly find two better tales than 'The Young King' and 'The Fisherman and His Soul'. If they do not, the morals of these stories (which, by the way, are not merely irreproachable but beneficent) will be seen sicklied over with detail and cloying to the taste. They will desire a little more of idiom and humanity in the writing, a little less of cadence and artifice. But, after all, they will only be in the position of the critic who objected to a decorative peacock---because it differed from the peacock of his experience.";A House of Pomegranates;1;Contemporary review (original);1892;1;2;The Speaker: A Review of Politics, Letters, Science and the Arts;United Kingdom;England;;5;;26–27;;Google Books;https://books.google.es/books?id=CIlNAAAAYAAJ&pg=PA26&dq=A+House+of+Pomegranates&hl=en&sa=X&ved=2ahUKEwjt9s3O0eH1AhWt4YUKHS5tBY8Q6AF6BAgJEAI#v=onepage&q=A%20House%20of%20Pomegranates&f=false;2022-02-02;2025-01-17;
19;"In ""The Happy Prince and Other Tales” (Boston: Robert Bros.; Toronto: William-son & Co.) Oscar Wilde has shown himself to be an artist in imaginative writing, as well as in dress. In these five fairy tales he displays a delicate fancy and a power of narration almost surprising, and a touch of satire adds no little to the strength of his work. “The Devoted Friend” and “The Remarkable Rocket” are the best of the stories, but all are full of power. The book contains several charming illustrations by Walter Crane and J. Hood.";The Happy Prince and Other Tales;1;Contemporary review (original);1888;12;18;The Toronto Mail;Canada;;toronto, ontario;XVI;7822;2;;Google Books;https://books.google.es/books?id=gudMAAAAIBAJ&pg=PA2&dq=%22The+Happy+Prince+and+Other+Tales%22&article_id=1419,1689291&hl=en&sa=X&ved=2ahUKEwjxi_-xhYSLAxVJT6QEHYoAIm4Q6AF6BAgGEAI#v=onepage&q=%22The%20Happy%20Prince%22&f=false;2025-01-20;2025-01-20;
12;In a volume of four short stories by Mr. Oscar Wilde, Lord Arthur Savile's Crime is the most characteristic of the author's style and method. Itis described as 'astudy in duty'. Lord Arthur Savile is informed by a cheiromantist that he is destined to commit a murder. Lord Arthur accepts the decree of fate with a tranquillity tempered by impatience. He isengaged. He objects to postpone his wedding, but his ideal of duty towards his betrothed forbids him to become her husband before he has accomplished his destiny. After carefully planned but unsuccessful attempts to shorten the years of two of his relations without incurring the odium ofa scandal, he hits upon the happy expedient of drowning the cheiromantist, and squares accounts at once with fateand withher mouthpiece, In 'The Canterville Ghost', a story written in imitation of the American manner, the humour is of a more boisterous character.;Lord Arthur Savile’s Crime and Other Stories;1;Contemporary review (original);1891;8;28;The Literary World: Choice Readings from the Best New Books, with Critical Reviews;United Kingdom;England;London;XLIV;1139;144;;Google Books;https://books.google.es/books?id=vtQZEm-gO5AC&pg=PA144;2022-03-02;2025-01-17;
89;*The Happy Prince and Other Tales*', is a collection of fairy stories by Oscar Wilde. The stories, besides the one named, are 'The Nightingale and the Rose', 'The Selfish Giant, 'The Devoted Friend' and 'The Remarkable Rocket'. The stories are allegorical in style and well written, and are illustrated by Crane and Hood. Cloth, $1.50.;The Happy Prince and Other Tales;1;Contemporary review (original);1888;10;30;The Indianapolis Journal;United States of America;;;;;3;;Chronicling America;https://chroniclingamerica.loc.gov/lccn/sn82015679/1888-10-30/ed-1/seq-3/;2022-11-22;2022-11-22;
72;Oscar Wilde's '*A House of Pomegranates*' is a queer production, queerly illustrated with very dim and indistinct cartoons of an aggravating unintelligibility. It is a collection of apologues, or fairy tales, or what you will. It is written in a kind of imitation of Biblical style, and it does not suggest or amount to much, however regarded.;A House of Pomegranates;1;Contemporary review (original);1892;7;17;The New York Tribune;United States of America;;;LII;16681;14;;Chronicling America;https://chroniclingamerica.loc.gov/lccn/sn83030214/1892-07-17/ed-1/seq-14/;2021-10-19;2021-10-19;
10;"Mr. Oscar Wilde's little volume might be called a collection of skits; and this attitude of the gentleman towards matters in general is a familiar one. Yet a subjectivity of method on his part, which all who were happy enough to see him in this country a few years ago [10] will somewhat painfully remember, nearly disappears in his stories, leaving his method freer and himself a more agreeable satirist than might have been supposed. We detect little of the rebuking knee-breeches or the exemplifying forelock here, while there is an abundance of wit and invention. 'The Canterville Ghost' and 'The Sphinx Without a Secret' are easily better than the two remaining sketches; in the former, the irreverent treatment by an American family of an English ancestral ghost is the happy subject of a happy treatment. The story which gives the book its name is a stiffish dose of trying to be funny, but its opening chapter is worth reading for as clever a picture of a social function as we have lately seen. The volume is charmingly bound and printed, only the title-page of each story betraying any eccentricity, and so we may feel that we have got off as easily as could be expected.";Lord Arthur Savile’s Crime and Other Stories;1;Contemporary review (original);1892;2;11;The Nation;United States of America;;;54;1389;114;;Cove Collective;https://editions.covecollective.org/content/appendix-b-contemporary-reviews;2022-02-02;2025-01-17;
43;Mr. Shannon and Mr. Ricketts have sprinkled the pages with devices rare and strange in the latest and straitest school of Neo-pre-Raphaelitism, and the chief illustrations in the book are of a most absolute fancy. Nevertheless, we rather like them, for they are by no means uncomely, and they suit their text---a compliment which we are frequently unable to pay to much more commonplace in- stances of the art of book illustration. In the case of the text, also, hasty judgment is likely to be unduly harsh judgment. The pomegranates that compose the house---the grains that make up the pomegranate would have been a better metaphor---are four in number, and are all tales of the Märchen order, though one is something even more of a fabliau than of a Märchen. This is called 'The Birthday of the Infanta', and tells, to put it very shortly, how a certain little Spanish princess had an ugly dwarf who loved her, and died of a broken heart when he found out, not only how ugly he himself was, but how his beloved mistress thought of him as nothing but a fantastic toy. 'Tis an ower true tale. But we are not sure that Mr. Wilde's manner of telling it is quite the right one. The first and the last of the four, ' The Young King', and ' The Star Child', are pretty enough moralities. The third piece, 'The Fisherman and his Soul', is much longer, as long, indeed, as any two of them, and to our fancy a good deal better. It tells how a fisherman fell in love with a mermaid, and, to gain her, consented to part with his soul. *Spectator*.;A House of Pomegranates;1;Contemporary review (reprint);1892;6;;Book News: An Illustrated Magazine of Literature;United States of America;;Philadelphia;10;118;454;;Hathi Digital Trust;https://hdl.handle.net/2027/chi.12149989?urlappend=%3Bseq=482%3Bownerid=13510798904003702-500;2021-06-30;2025-01-17;
44;An attractive piece of book-making, in a very different field, is Oscar Wilde's 'Happy Prince, and Other Tales' (Roberts Brothers). The telling of these stories is in a charming manner---especially in the tale of 'The Remarkable Rocket', a delicate satire, which is cleverly carried to a clean finish.;The Happy Prince and Other Tales;1;Contemporary review (original);1888;10;4;Life;United Kingdom;England;london;12;301;189;;Hathi Digital Trust;https://hdl.handle.net/2027/coo.31924069226169?urlappend=%3Bseq=225%3Bownerid=13510798903035869-229;2021-06-30;2025-01-21;
46;A beautifully executed book of fairy tales, in parchment cover, rubricated ttle, and thick paper page of most ample margin, and the whole illustrated by Messrs. Crane and Hood, the former contributing some charming drawings for the whole page, engravings, and the talent of the, later being displayed in the delicate fairy fancies that form the headings of each of the tales. And very pretty are the fables that Mr. Oscar Wilde has here strung together, tender and graceful as befits the school of which he is choragus, and not without a touch of humour. Of 'the remarkable Rocket', we are told that he spoke with 'a slow, distinct voice as if he was dictating his memoirs, and always looked over the shoulder of the person to whom he was talking'. 'Then there is the mother Duck, who ' kept saying to her little ones * you will never be in society unless you can stand on your beads', and every now and then she showed them how it was done. But the little ducks paid no attention. They were so young that they did not know what an advantage it is to be in society'.;The Happy Prince and Other Tales;1;Contemporary review (original);1891;7;5;The Bookseller: A Newspaper of British and Foreign Literature;United Kingdom;England;london;CCCLXVIII;;694;;Hathi Digital Trust;https://hdl.handle.net/2027/coo.31924078875188?urlappend=%3Bseq=16%3Bownerid=13510798902878758-20;2021-06-30;2025-01-21;
